ID,command,encrypted_cmd
12,{'axes': {'0': 0.045501708984375, '1': 0.04705810546875, '2': -1.0, '3': -0.351654052734375, '4': -0.3388671875, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b1ffceca004fddb4e0e5dde977c2110204ac821e1f0e32522654d78d838101fa7491dfe51aee73742115ab53ba
16,{'axes': {'0': 0.045501708984375, '1': 0.04705810546875, '2': -1.0, '3': -0.44927978515625, '4': -0.758880615234375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9dab42b6ffbfe37d26eead90fb082fbbbede3d3fc983e20095da7a435c2d8d416b54370e77b4344baf3dd11cbe
16,{'axes': {'0': 0.045501708984375, '1': 0.04705810546875, '2': -1.0, '3': -0.44927978515625, '4': -0.758880615234375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9dab42b6ffbfe37d26eead90fb082fbbbede3d3fc983e20095da7a435c2d8d416b54370e77b4344baf3dd11cbe
20,{'axes': {'0': 0.03118896484375, '1': -0.151611328125, '2': -1.0, '3': -0.121368408203125, '4': -1.0, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},04ba9bd57e577404548b107a3af94b0db6eae49689b40558e08b9f2bdfb1a2d44d7241804f20bfa79588133ce9
20,{'axes': {'0': 0.03118896484375, '1': -0.151611328125, '2': -1.0, '3': -0.121368408203125, '4': -1.0, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},04ba9bd57e577404548b107a3af94b0db6eae49689b40558e08b9f2bdfb1a2d44d7241804f20bfa79588133ce9
25,{'axes': {'0': -0.3436279296875, '1': -1.0, '2': -1.0, '3': -0.043670654296875, '4': -0.100433349609375, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3c6fec461d90585864129eeba8b11b4e362753268680fe95c3bdbcb8aecd539fe60767ca343f955bfd3c3adcfe
25,{'axes': {'0': -0.3436279296875, '1': -1.0, '2': -1.0, '3': -0.043670654296875, '4': -0.100433349609375, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3c6fec461d90585864129eeba8b11b4e362753268680fe95c3bdbcb8aecd539fe60767ca343f955bfd3c3adcfe
28,{'axes': {'0': -0.43902587890625, '1': -1.0, '2': -1.0, '3': 0.0614013671875, '4': -0.015106201171875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a83989eb480199ba01b2e255dbd690be525c08e0429357d07bcf684ddd6f7c954d8747a985c757655c23b33435
28,{'axes': {'0': -0.43902587890625, '1': -1.0, '2': -1.0, '3': 0.0614013671875, '4': -0.015106201171875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a83989eb480199ba01b2e255dbd690be525c08e0429357d07bcf684ddd6f7c954d8747a985c757655c23b33435
32,{'axes': {'0': -0.796478271484375, '1': -0.89239501953125, '2': -1.0, '3': -0.635162353515625, '4': -0.371185302734375, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},ddafa9a38ffab91258293106aaf4dbe2efaf02f1025f6d21fa4787f0a05c8cfbd132883d7fad5434d59c15e8ee
32,{'axes': {'0': -0.796478271484375, '1': -0.89239501953125, '2': -1.0, '3': -0.635162353515625, '4': -0.371185302734375, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},ddafa9a38ffab91258293106aaf4dbe2efaf02f1025f6d21fa4787f0a05c8cfbd132883d7fad5434d59c15e8ee
36,{'axes': {'0': -1.0, '1': -0.31982421875, '2': -1.0, '3': -1.0, '4': -0.502166748046875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e369f203ed437d093d70a5c1ce3b5540adb314351f6a6f112d34a0c4b604e98ab247a9391de22997cc6444edfc
36,{'axes': {'0': -1.0, '1': -0.31982421875, '2': -1.0, '3': -1.0, '4': -0.502166748046875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e369f203ed437d093d70a5c1ce3b5540adb314351f6a6f112d34a0c4b604e98ab247a9391de22997cc6444edfc
40,{'axes': {'0': 0.999969482421875, '1': -0.22064208984375, '2': -1.0, '3': 0.05316162109375, '4': 0.016815185546875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},97c4302fd8ce35096a09fc33f323afb1738d6fd78a86b8080abbf8de97e3cf85580bbbcfc9c45a80a86c3f1483
40,{'axes': {'0': 0.999969482421875, '1': -0.22064208984375, '2': -1.0, '3': 0.05316162109375, '4': 0.016815185546875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},97c4302fd8ce35096a09fc33f323afb1738d6fd78a86b8080abbf8de97e3cf85580bbbcfc9c45a80a86c3f1483
45,{'axes': {'0': 0.969146728515625, '1': -0.6142578125, '2': -1.0, '3': 0.036468505859375, '4': 0.029754638671875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},27ae2983e37c650f199efee64a3611b72a93e2a50be8412d1aafd6d7d4649b59fa9cc44da525f7a09decec5d42
45,{'axes': {'0': 0.969146728515625, '1': -0.6142578125, '2': -1.0, '3': 0.036468505859375, '4': 0.029754638671875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},27ae2983e37c650f199efee64a3611b72a93e2a50be8412d1aafd6d7d4649b59fa9cc44da525f7a09decec5d42
49,{'axes': {'0': 0.93536376953125, '1': -0.73516845703125, '2': -1.0, '3': 0.036468505859375, '4': 0.029754638671875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},8ffa1757a6aa9e50ff513511d3669c6546208a11cf68933c7d04b5b73f1f733c87aa182596d638a15605bd35bd
49,{'axes': {'0': 0.93536376953125, '1': -0.73516845703125, '2': -1.0, '3': 0.036468505859375, '4': 0.029754638671875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},8ffa1757a6aa9e50ff513511d3669c6546208a11cf68933c7d04b5b73f1f733c87aa182596d638a15605bd35bd
53,{'axes': {'0': -0.796295166015625, '1': -0.69647216796875, '2': -1.0, '3': 0.036468505859375, '4': 0.029754638671875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},50dceffbd9b43bee3198b9db9b8fe90d3a5d59de35d5723e1b1d909a95caeb90db9cea3d4f069ef6eb86dd19fb
