ID,command,encrypted_cmd
10,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b6cab08f7e5cb81b7da39acede8ce782476d0ef0775c674559b7ea4643306def6847d664960750062125ff3227
13,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b6cab08f7e5cb81b7da39acede8ce782476d0ef0775c674559b7ea4643306def6847d664960750062125ff3227
17,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b6cab08f7e5cb81b7da39acede8ce782476d0ef0775c674559b7ea4643306def6847d664960750062125ff3227
22,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b6cab08f7e5cb81b7da39acede8ce782476d0ef0775c674559b7ea4643306def6847d664960750062125ff3227
25,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b6cab08f7e5cb81b7da39acede8ce782476d0ef0775c674559b7ea4643306def6847d664960750062125ff3227
30,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9cbfead57c453cf24582e71a57e397c46cde255d60458c22d653ca6e8e43fda7a953a5c929119e95ecc05110c7
30,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9cbfead57c453cf24582e71a57e397c46cde255d60458c22d653ca6e8e43fda7a953a5c929119e95ecc05110c7
34,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9cbfead57c453cf24582e71a57e397c46cde255d60458c22d653ca6e8e43fda7a953a5c929119e95ecc05110c7
38,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9cbfead57c453cf24582e71a57e397c46cde255d60458c22d653ca6e8e43fda7a953a5c929119e95ecc05110c7
42,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9cbfead57c453cf24582e71a57e397c46cde255d60458c22d653ca6e8e43fda7a953a5c929119e95ecc05110c7
46,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.00250244140625, '5': -1.0, '6': 1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},ec318e22d39b5510e09a39ee6978a7cbda1d41bdf1e02108e2e5ff7dc8721bcd8e500d5e92d88ca52a1601b6ea
