frame_id,resolution,Frame Size(Byte),GOP,current_srv_fps,processing_time,bitrate
1,(1280, 720),2764800,3,28.54280258497268,0.014547747006872669,1400
2,(1280, 720),2764800,3,21.6571871738012,0.017612943003769033,1400
3,(1280, 720),2764800,3,30.656231893469403,0.010850516002392396,1400
4,(1280, 720),2764800,3,29.391115720272683,0.011394062006729655,1400
5,(1280, 720),2764800,3,32.35894510397505,0.010464709994266741,1400
6,(1280, 720),2764800,3,29.423717653582667,0.013357770993025042,1400
7,(1280, 720),2764800,3,14.974188765958951,0.03239017599844374,1400
8,(1280, 720),2764800,3,20.275190701835317,0.021151678010937758,1400
9,(1280, 720),2764800,3,14.720853460642392,0.029599407003843226,980.0
10,(1280, 720),2764800,3,16.39527271158787,0.028223729008459486,980.0
11,(1280, 720),2764800,3,15.875640144234717,0.027413379997597076,980.0
12,(1280, 720),2764800,3,17.018310629925512,0.022139216991490684,980.0
13,(1280, 720),2764800,3,14.237159874972958,0.02867153799161315,980.0
14,(1280, 720),2764800,3,16.392547480305456,0.0214004970039241,980.0
15,(1280, 720),2764800,3,14.706891722311575,0.028669514009379782,980.0
16,(1280, 720),2764800,3,15.38273182880227,0.03235427000618074,980.0
17,(1280, 720),2764800,3,18.06238607407228,0.02401243099302519,980.0
18,(1280, 720),2764800,3,17.23313889723287,0.016363012997317128,980.0
19,(1280, 720),2764800,3,14.574386876728502,0.02608518699707929,980.0
20,(1280, 720),2764800,3,15.386422224268049,0.028797343999031,980.0
21,(1280, 720),2764800,3,15.736264734833352,0.027677463993313722,980.0
22,(1280, 720),2764800,3,18.407543530494152,0.02050596399931237,980.0
23,(1280, 720),2764800,3,13.770875734427893,0.02981915499549359,980.0
24,(1280, 720),2764800,3,16.527549597028084,0.025005875009810552,980.0
24,(1280, 720),2764800,3,14.1659326256831,0.0303440919960849,980.0
25,(1280, 720),2764800,3,17.12224098593046,0.024414275991148315,980.0
26,(1280, 720),2764800,3,15.624448016982184,0.027823183001601137,980.0
27,(1280, 720),2764800,3,15.623839684988436,0.0266966479975963,980.0
28,(1280, 720),2764800,3,15.62468091635396,0.027701322993380018,980.0
28,(1280, 720),2764800,3,17.008786786854845,0.02102572600415442,980.0
29,(1280, 720),2764800,3,13.65992446124713,0.030211100995074958,980.0
30,(1280, 720),2764800,3,16.665410927606978,0.02854228600335773,980.0
31,(1280, 720),2764800,3,18.523939514380714,0.01866098500613589,980.0
32,(1280, 720),2764800,3,15.383662545785784,0.023574375998578034,980.0
33,(1280, 720),2764800,3,14.671634010785223,0.030135796012473293,980.0
34,(1280, 720),2764800,3,16.16823997932823,0.02729883800202515,980.0
34,(1280, 720),2764800,3,15.873971588332639,0.02876510500209406,980.0
35,(1280, 720),2764800,3,15.622764235233623,0.026786841001012363,980.0
36,(1280, 720),2764800,3,17.585853741455722,0.022231756011024117,980.0
