ID,command,encrypted_cmd
11,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
15,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
19,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
23,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
28,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
31,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
36,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
40,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
44,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
48,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
52,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a4be5bc11cfb67055a7e38e67921f82d5605c2db0e94d2389dd8873676e3586fba0f07302bf7b376fe7596f0d3
