frame_id,resolution,Frame Size(Byte),GOP,current_srv_fps,processing_time,bitrate
1,(1280, 720),2764800,3,27.147575465211922,0.017068237997591496,7000
2,(1280, 720),2764800,3,25.874049318083145,0.01382218100479804,7000
3,(1280, 720),2764800,3,31.125580361801816,0.012252185988472775,7000
4,(1280, 720),2764800,3,21.963628318271784,0.022716516992659308,7000
5,(1280, 720),2764800,3,14.909389155238628,0.029570828002761118,7000
6,(1280, 720),2764800,3,17.061698736742628,0.025760970005649142,7000
7,(1280, 720),2764800,3,15.127996388759502,0.024848419008776546,7700.0
8,(1280, 720),2764800,3,14.702563034553075,0.028270137001527473,7700.0
9,(1280, 720),2764800,3,15.62336101061457,0.026026988998637535,7700.0
10,(1280, 720),2764800,3,15.155780586205886,0.02695370100263972,7700.0
11,(1280, 720),2764800,3,17.736950628737848,0.026211250995402224,7700.0
12,(1280, 720),2764800,3,14.57166382658917,0.02860816901375074,7700.0
13,(1280, 720),2764800,3,17.93313130139659,0.029792183995596133,7700.0
14,(1280, 720),2764800,3,21.456759937560154,0.017062676008208655,7700.0
15,(1280, 720),2764800,3,15.96694765365781,0.026445235998835415,7700.0
16,(1280, 720),2764800,3,17.181090566251992,0.0241464150021784,7700.0
17,(1280, 720),2764800,3,19.488118077950027,0.022103464987594634,7700.0
18,(1280, 720),2764800,3,13.721744318879939,0.02685273801034782,7700.0
19,(1280, 720),2764800,3,16.731831014580862,0.02404142200248316,7700.0
20,(1280, 720),2764800,3,17.600704677341103,0.021727144994656555,7700.0
21,(1280, 720),2764800,3,15.507211821761475,0.026691431005019695,7700.0
22,(1280, 720),2764800,3,15.336809370127884,0.02202147600473836,7700.0
23,(1280, 720),2764800,3,16.471987813781052,0.02606265999202151,7700.0
24,(1280, 720),2764800,3,15.127812158966996,0.02738390200829599,7700.0
25,(1280, 720),2764800,3,16.744882572017836,0.025629358002333902,7700.0
26,(1280, 720),2764800,3,17.356303173916068,0.02485234801133629,7700.0
27,(1280, 720),2764800,3,13.662417805350598,0.03294314700178802,7700.0
28,(1280, 720),2764800,3,17.86072584917613,0.025105837994487956,7700.0
29,(1280, 720),2764800,3,14.70333737598525,0.02880588101106696,5390.0
29,(1280, 720),2764800,3,16.12770900786248,0.027502794997417368,3773.0
30,(1280, 720),2764800,3,17.726418119811004,0.024300157994730398,3773.0
31,(1280, 720),2764800,3,14.479058952355645,0.02515274699544534,3773.0
32,(1280, 720),2764800,3,12.90000313557688,0.03547752099984791,3773.0
33,(1280, 720),2764800,3,19.22684658539859,0.019078999990597367,3773.0
34,(1280, 720),2764800,3,15.341375363626488,0.022012569999787956,3773.0
34,(1280, 720),2764800,3,16.340131469637615,0.022472391006886028,3773.0
35,(1280, 720),2764800,3,15.25376111058114,0.021789010002976283,3773.0
36,(1280, 720),2764800,3,15.228453684616534,0.026738725005998276,3773.0
37,(1280, 720),2764800,3,17.73211026382531,0.02277362800668925,3773.0
38,(1280, 720),2764800,3,16.13132238471223,0.025259427013224922,3773.0
39,(1280, 720),2764800,3,16.90658605919008,0.023404773004585877,3773.0
