frame_id,received_fame_id,my_gap,received_time,send_time,current_srv_fps,received_fps,current_cps,received_cps,current_srv_fps/received_fps,received_cps/current_cps,bitrate
6,1,5,110790.881711057,110790.880682755,15.479040868698606,83.01690055032337,4.002322756146479,0.0,0.18645650182176443,0.0,2800 
27,11,16,110792.107127421,110792.081229341,16.12929839000131,9.81407307296065,0.8160491644926035,0.0,1.6434866818385654,0.0,3080.0 
28,12,16,110792.162139414,110792.111504388,18.183602818553247,9.81407307296065,18.177854418826684,0.0,1.8528089900463447,0.0,2156.0 
32,16,16,110792.460150389,110792.450895724,18.188503279951924,11.771026784777836,3.355581115694629,0.7649607500836666,1.5451925828147037,0.22796669897378247,1509.2 
37,20,17,110792.822146825,110792.788422153,16.589722704502314,11.560527783892855,2.7624581364903817,2.946339349725694,1.4350316018976725,1.0665643438379586,1509.2 
38,21,17,110792.932397777,110792.929786494,19.7883352579858,11.08870711793162,9.070216464083972,2.9628457483770254,1.7845484642646892,0.32665656438401797,1509.2 
43,25,18,110793.225142683,110793.196508742,16.06040304872727,12.354202038034115,3.4159432990189615,2.9628457483770254,1.299995175672464,0.8673580001248665,1509.2 
46,28,18,110793.457550184,110793.455206658,19.83323738272697,13.19987049891073,4.302787111914752,2.4505266723384893,1.5025327244205642,0.569520780043426,1509.2 
50,30,20,110793.770182306,110793.748643433,13.979771186635313,10.060557007129322,3.1986476424399006,3.8637838758134877,1.3895623449803698,1.207942952061524,1509.2 
52,32,20,110793.885186309,110793.8677802,18.504370216610972,12.181368444919947,8.695349500914796,3.8637838758134877,1.519071547690353,0.444350612405746,1509.2 
58,36,22,110794.299839367,110794.253297121,16.678158471983483,12.286954498874154,2.411654709154357,2.4244435737331345,1.3573875018021506,1.005302941805986,1509.2 
61,38,23,110794.53310703,110794.526914002,18.642865742808695,16.214103471990494,4.286920815024729,2.5939295077021245,1.1497931893066942,0.6050798742563575,1509.2 
63,40,23,110794.654428969,110794.643464677,17.16103224395942,12.56835425185913,8.242532292211775,2.5939295077021245,1.365416020273373,0.31470055751593273,1509.2 
70,45,25,110795.12545343,110795.116672648,17.47421723147579,18.68048175432954,2.123031992650563,2.5630431597983536,0.9354264767516407,1.2072560228347973,1509.2 
73,59,14,110795.355096684,110795.333221979,17.557240732723788,13.05015642334365,4.354580343951126,2.113202575621797,1.3453663054427476,0.48528271583212634,1509.2 
75,61,14,110795.474109209,110795.41895106,16.39270522049689,17.786051690246,8.402476966215804,2.113202575621797,0.9216607207706906,0.2514975743603274,1509.2 
80,65,15,110795.828126312,110795.81033532,17.24297488121573,18.676725951761643,2.8247222846459863,3.3080873340982193,0.9232332757760106,1.1711194945002572,1509.2 
85,68,17,110796.172248355,110796.123418143,16.789706110778198,11.863052120388192,2.905945783926372,2.5377206608399887,1.4152939682295513,0.8732856183611054,1509.2 
87,70,17,110796.289068737,110796.242784658,16.395000416013183,11.912658721552623,8.560150060264258,2.5377206608399887,1.3762671120890098,0.29645749700346347,1509.2 
92,74,18,110796.633123565,110796.625491521,17.854837990313868,12.750630699618808,2.906513493208083,2.3269241063212096,1.4003101815855787,0.8005894731810971,1509.2 
96,76,20,110796.921118222,110796.913709985,16.665426204829608,18.492567967636838,3.4722866403389085,2.612820293452804,0.9011958876666105,0.7524782842230394,1509.2 
99,78,21,110797.086122386,110797.030575687,16.783221664443364,11.31912557358965,6.06045311698973,2.612820293452804,1.4827312900921266,0.4311262281904443,1509.2 
105,82,23,110797.467506882,110797.426986079,17.37977354656382,17.496969308969735,2.6220258307902875,2.468443315731028,0.9933019393052351,0.9414260098982438,1509.2 
109,85,24,110797.738625233,110797.73295752,19.041558750897963,11.230526799894854,3.6884260926080477,2.497292984328763,1.6955178586169475,0.6770619558661003,1509.2 
110,86,24,110797.798451684,110797.759662768,16.721997807669048,11.230526799894854,16.715014570533448,2.497292984328763,1.4889771517953734,0.14940417633444297,1509.2 
116,90,26,110798.19615545,110798.149111568,16.513275671278226,11.386973707946941,2.5144343239136355,3.043140601959769,1.4501900236894067,1.2102684778909711,1509.2 
