frame_id,resolution,Frame Size(Byte),GOP,current_srv_fps,processing_time,bitrate
1,(1280, 720),2764800,3,33.18224461702998,0.017276565995416604,7000
2,(1280, 720),2764800,3,34.71480433752255,0.012114633005694486,7000
3,(1280, 720),2764800,3,40.11210370949911,0.010902082998654805,7000
4,(1280, 720),2764800,3,21.205176708747143,0.02169535700522829,7000
5,(1280, 720),2764800,3,22.668955811001,0.019644795000203885,7000
6,(1280, 720),2764800,3,22.424310101407904,0.01915507100056857,7700.0
7,(1280, 720),2764800,3,17.805287501443317,0.02605399400636088,7700.0
8,(1280, 720),2764800,3,17.732163404140465,0.02981351999915205,7700.0
9,(1280, 720),2764800,3,21.87108056033132,0.023172975008492358,7700.0
10,(1280, 720),2764800,3,20.482821482405583,0.019685590988956392,7700.0
11,(1280, 720),2764800,3,18.21670217163946,0.023708987995632924,7700.0
12,(1280, 720),2764800,3,18.035193696178563,0.0237029080017237,7700.0
13,(1280, 720),2764800,3,17.818611701449743,0.032602778999716975,7700.0
14,(1280, 720),2764800,3,20.08070112318201,0.02850653399946168,7700.0
15,(1280, 720),2764800,3,21.308008735009352,0.030873953000991605,7700.0
16,(1280, 720),2764800,3,24.16162893137053,0.020717633989988826,7700.0
17,(1280, 720),2764800,3,19.217557899529695,0.024793491989839822,7700.0
18,(1280, 720),2764800,3,17.78921347538936,0.028570422990014777,7700.0
19,(1280, 720),2764800,3,20.675430757662447,0.03151058399816975,7700.0
20,(1280, 720),2764800,3,24.812315308082255,0.020599550000042655,7700.0
21,(1280, 720),2764800,3,21.600605750474948,0.02404626899806317,7700.0
22,(1280, 720),2764800,3,21.743170881555695,0.01835042200400494,7700.0
23,(1280, 720),2764800,3,20.453970557572795,0.021993097994709387,7700.0
23,(1280, 720),2764800,3,18.1017669022658,0.026572885995847173,5390.0
24,(1280, 720),2764800,3,21.61059297571101,0.025432233000174165,3773.0
25,(1280, 720),2764800,3,18.516975783452637,0.029412224001134746,3773.0
26,(1280, 720),2764800,3,25.048287461170457,0.02215811499627307,3773.0
27,(1280, 720),2764800,3,17.520248498368527,0.031049590004840866,3773.0
28,(1280, 720),2764800,3,27.408725391110185,0.021122378995642066,3773.0
28,(1280, 720),2764800,3,22.820027836853654,0.018969406010000966,3773.0
29,(1280, 720),2764800,3,17.95863512380449,0.029382469001575373,3773.0
30,(1280, 720),2764800,3,23.25312037189337,0.024715457009733655,3773.0
31,(1280, 720),2764800,3,24.417867064743184,0.023945841006934643,3773.0
32,(1280, 720),2764800,3,20.023501585604457,0.02303813699109014,3773.0
33,(1280, 720),2764800,3,19.90428229331004,0.025031869008671492,3773.0
34,(1280, 720),2764800,3,18.917382780028085,0.028500925996922888,3773.0
34,(1280, 720),2764800,3,21.2743411125947,0.028761211011442356,3773.0
35,(1280, 720),2764800,3,28.81872452340299,0.018666920994292013,3773.0
36,(1280, 720),2764800,3,19.494599011565185,0.024695865999092348,3773.0
37,(1280, 720),2764800,3,22.540135809845964,0.026170173005084507,3773.0
38,(1280, 720),2764800,3,24.89409243976997,0.025111797993304208,3773.0
39,(1280, 720),2764800,3,22.38532417917099,0.024240836006356403,3773.0
40,(1280, 720),2764800,3,20.534491458226125,0.027353344004950486,3773.0
40,(1280, 720),2764800,3,27.116661521853906,0.017580029991222546,3773.0
41,(1280, 720),2764800,3,22.937389114907617,0.022903880002559163,3773.0
42,(1280, 720),2764800,3,18.752434297355368,0.025730312001542188,3773.0
43,(1280, 720),2764800,3,23.641092292268844,0.02398131998779718,3773.0
44,(1280, 720),2764800,3,26.525400864206844,0.020663607007008977,3773.0
45,(1280, 720),2764800,3,21.052199896309283,0.02339206400210969,3773.0
46,(1280, 720),2764800,3,19.211439568542247,0.026803993998328224,3773.0
47,(1280, 720),2764800,3,22.864737089269337,0.027787304992671125,3773.0
48,(1280, 720),2764800,3,21.589241954834726,0.027273669009446166,3773.0
48,(1280, 720),2764800,3,22.086491407788678,0.028708104000543244,3773.0
49,(1280, 720),2764800,3,22.729958995943186,0.02892813899961766,3773.0
50,(1280, 720),2764800,3,24.157863520103575,0.022516131997690536,3773.0
51,(1280, 720),2764800,3,18.510635046072817,0.03120301099261269,3773.0
51,(1280, 720),2764800,3,20.829904208036577,0.033808463005698286,3773.0
52,(1280, 720),2764800,3,25.61420953338625,0.024981185008073226,3773.0
53,(1280, 720),2764800,3,22.79852121507929,0.022161177010275424,3773.0
54,(1280, 720),2764800,3,19.230010017106583,0.025229420003597625,3773.0
55,(1280, 720),2764800,3,19.965557018191593,0.0285801489953883,3773.0
55,(1280, 720),2764800,3,21.276460388303672,0.028356520997476764,3773.0
56,(1280, 720),2764800,3,20.834864266430653,0.031073959995410405,3773.0
57,(1280, 720),2764800,3,24.392374365773115,0.023674127995036542,3773.0
58,(1280, 720),2764800,3,21.590816075875814,0.02337477200489957,3773.0
59,(1280, 720),2764800,3,20.536974522252535,0.025533400010317564,3773.0
60,(1280, 720),2764800,3,17.928944758621835,0.030680769006721675,3773.0
61,(1280, 720),2764800,3,20.739337045794677,0.025762341989320703,3773.0
62,(1280, 720),2764800,3,20.850642839589113,0.022757240003556944,3773.0
62,(1280, 720),2764800,3,17.227685676483908,0.025939207000192255,3773.0
62,(1280, 720),2764800,3,18.518096715931502,0.03070670300803613,3773.0
63,(1280, 720),2764800,3,26.148808688343,0.021956334996502846,3773.0
64,(1280, 720),2764800,3,16.458768555494583,0.02765135100344196,3773.0
65,(1280, 720),2764800,3,20.61625660558539,0.02049088700732682,3773.0
66,(1280, 720),2764800,3,17.613312961372337,0.022347252001054585,3773.0
66,(1280, 720),2764800,3,16.304671170017603,0.028005621003103442,3773.0
66,(1280, 720),2764800,3,21.833665936171307,0.023708017004537396,3773.0
67,(1280, 720),2764800,3,20.43324946232306,0.019443066994426772,3773.0
68,(1280, 720),2764800,3,16.76652360802861,0.024863451995770447,3773.0
69,(1280, 720),2764800,3,19.710418475083966,0.02706714699161239,3773.0
70,(1280, 720),2764800,3,19.505844399111695,0.025187135994201526,3773.0
71,(1280, 720),2764800,3,19.35094043286237,0.023270416000741534,3773.0
71,(1280, 720),2764800,3,17.41531051991819,0.027824674994917586,3773.0
72,(1280, 720),2764800,3,18.379480808016986,0.02982284400786739,3773.0
73,(1280, 720),2764800,3,18.0135996556778,0.030019451995030977,3773.0
74,(1280, 720),2764800,3,14.287663327804562,0.03290354899945669,3773.0
75,(1280, 720),2764800,3,21.021894471641694,0.022994403989287093,3773.0
76,(1280, 720),2764800,3,19.36725099286826,0.021529703997657634,3773.0
77,(1280, 720),2764800,3,18.74090503655221,0.023692661998211406,3773.0
78,(1280, 720),2764800,3,16.828440993768872,0.026530754010309465,3773.0
78,(1280, 720),2764800,3,17.29672046548145,0.029227265011286363,3773.0
79,(1280, 720),2764800,3,24.948297150650532,0.01766666599723976,3773.0
80,(1280, 720),2764800,3,16.919448013765116,0.026425250005559064,3773.0
80,(1280, 720),2764800,3,17.952325770876282,0.02569857399794273,3773.0
81,(1280, 720),2764800,3,19.677310213491403,0.02809656399767846,3773.0
82,(1280, 720),2764800,3,17.757994584448486,0.03230242698919028,3773.0
82,(1280, 720),2764800,3,20.49221563759028,0.02925605200289283,3773.0
83,(1280, 720),2764800,3,21.75281579461241,0.019336547004058957,3773.0
83,(1280, 720),2764800,3,15.689716897364393,0.029402331987512298,3773.0
84,(1280, 720),2764800,3,18.7811266607859,0.028202152010635473,3773.0
84,(1280, 720),2764800,3,18.75434292388846,0.031109482995816506,3773.0
85,(1280, 720),2764800,3,19.570485766268778,0.027419252990512177,3773.0
86,(1280, 720),2764800,3,22.893799625201726,0.02252214499458205,3773.0
87,(1280, 720),2764800,3,18.0095823915278,0.02148816800036002,3773.0
88,(1280, 720),2764800,3,16.444926837317865,0.0275234409928089,3773.0
89,(1280, 720),2764800,3,18.843949334783765,0.024945880999439396,3773.0
90,(1280, 720),2764800,3,23.985665401021215,0.01808285499282647,3773.0
91,(1280, 720),2764800,3,16.88547655271666,0.02219998800137546,3773.0
92,(1280, 720),2764800,3,16.949158287994344,0.029383729997789487,3773.0
92,(1280, 720),2764800,3,18.519978509816017,0.0273469230014598,3773.0
92,(1280, 720),2764800,3,21.907280717701216,0.021083896004711278,3773.0
93,(1280, 720),2764800,3,17.136511834076796,0.02283911799895577,3773.0
94,(1280, 720),2764800,3,19.14749493469811,0.021934525997494347,3773.0
95,(1280, 720),2764800,3,16.455103945596292,0.02757428798940964,3773.0
96,(1280, 720),2764800,3,18.86466983834802,0.02995458299119491,3773.0
97,(1280, 720),2764800,3,22.726114724299475,0.021350308001274243,3773.0
98,(1280, 720),2764800,3,19.90300984857373,0.01944638699933421,3773.0
99,(1280, 720),2764800,3,18.10233609112213,0.020846589002758265,3773.0
99,(1280, 720),2764800,3,19.691435209254628,0.022804795007687062,3773.0
99,(1280, 720),2764800,3,17.944838000807877,0.023277012995094992,3773.0
100,(1280, 720),2764800,3,18.521335130419626,0.02591960500285495,3773.0
101,(1280, 720),2764800,3,19.605654610898366,0.023461104996385984,3773.0
102,(1280, 720),2764800,3,20.09527692969267,0.025942966996808536,3773.0
103,(1280, 720),2764800,3,20.010580394239973,0.02083910100918729,3773.0
104,(1280, 720),2764800,3,15.54616950294991,0.029854483000235632,3773.0
105,(1280, 720),2764800,3,19.126812067502,0.027742309001041576,3773.0
105,(1280, 720),2764800,3,17.675858306352882,0.03319817800365854,3773.0
106,(1280, 720),2764800,3,21.54029524957723,0.022928885999135673,3773.0
107,(1280, 720),2764800,3,11.393612050243524,0.0248816759994952,3773.0
108,(1280, 720),2764800,3,16.210569855421237,0.02931864200218115,3773.0
109,(1280, 720),2764800,3,21.975426462507986,0.025077917001908645,3773.0
110,(1280, 720),2764800,3,21.9351674097191,0.01822833799815271,3773.0
111,(1280, 720),2764800,3,16.510901991454183,0.026753015001304448,3773.0
112,(1280, 720),2764800,3,20.18361397129373,0.02755486499518156,3773.0
113,(1280, 720),2764800,3,18.708202016880843,0.028434758001822047,3773.0
114,(1280, 720),2764800,3,19.031237323737574,0.025920277999830432,3773.0
114,(1280, 720),2764800,3,22.180396894518996,0.02124034998996649,3773.0
115,(1280, 720),2764800,3,19.935067895909057,0.01872031499806326,3773.0
116,(1280, 720),2764800,3,17.29668037334904,0.023572728998260573,3773.0
117,(1280, 720),2764800,3,18.890182864783885,0.026377513000625186,3773.0
118,(1280, 720),2764800,3,17.545630221022147,0.033185520995175466,3773.0
119,(1280, 720),2764800,3,21.196994267755475,0.025492913991911337,3773.0
