frame_id,frame_timestamp,cmd_timestamp
11,2473.189241676,2473.272417996
15,2473.529422017,2473.612540897
19,2473.852451982,2473.942163963
24,2474.275341127,2474.361926367
27,2474.536916576,2474.634409184
27,2474.636351438,2474.69866722
31,2474.98148791,2475.065435586
31,2475.065803362,2475.124385693
35,2475.387675649,2475.475285227
35,2475.475688263,2475.539065802
39,2475.81837424,2475.899289226
44,2476.317639458,2476.401905301
48,2476.786859073,2476.877470593
64,2477.249869043,2477.33865157
69,2477.762598398,2477.852901074
73,2478.130806291,2478.219907783
77,2478.556960599,2478.650551823
81,2478.926895649,2479.02397412
85,2479.338962132,2479.421502538
89,2479.676022584,2479.756178179
89,2479.756612862,2479.80992217
110,2480.158210741,2480.195901574
114,2480.343130747,2480.382082716
