frame_id,frame_timestamp,cmd_timestamp
10,1918.483797129,1918.552080791
14,1918.758993049,1918.82761284
18,1919.029103462,1919.089760069
22,1919.293449985,1919.350719829
22,1919.355175869,1919.403480019
27,1919.667878172,1919.727885623
27,1919.728298153,1919.774159151
30,1919.910244168,1919.968977072
35,1920.275977768,1920.336366042
39,1920.599428235,1920.659236959
43,1920.830780976,1920.889793242
43,1920.890207671,1920.931412354
43,1920.931776908,1920.969946634
47,1921.19141048,1921.249595085
51,1921.425314875,1921.470629971
55,1921.674759506,1921.730375267
59,1921.88992296,1921.945365366
59,1921.945769502,1921.986436113
63,1922.153410195,1922.213788407
63,1922.214198291,1922.258694851
63,1922.259094935,1922.30132809
63,1922.301715809,1922.346987751
67,1922.587144582,1922.650549357
71,1922.886303103,1922.952282175
75,1923.190622715,1923.247233854
80,1923.518089173,1923.557634835
84,1923.751893584,1923.815070301
88,1924.05495376,1924.107912582
92,1924.348561287,1924.41383717
96,1924.648010797,1924.712997343
100,1924.966073155,1925.029892004
104,1925.15982874,1925.19207014
108,1925.313673469,1925.345808879
112,1925.44950941,1925.480043752
117,1925.630341301,1925.664472084
117,1925.664952844,1925.68723764
