frame_id,resolution,Frame Size(Byte),GOP,current_srv_fps,processing_time,bitrate
1,(1280, 720),2764800,3,31.78599632960294,0.01831795299995065,4200
2,(1280, 720),2764800,3,31.709781928805214,0.01218570799983354,4200
3,(1280, 720),2764800,3,42.76413148188438,0.010373951000019588,4200
4,(1280, 720),2764800,3,37.55284624309973,0.015208554999844637,4200
5,(1280, 720),2764800,3,21.444181107540757,0.022747116999653372,4200
6,(1280, 720),2764800,3,24.799317106078817,0.018233343999781937,4200
7,(1280, 720),2764800,3,16.28980793302136,0.030567410999992717,4620.0
8,(1280, 720),2764800,3,19.59433726015931,0.029254574999868055,4620.0
9,(1280, 720),2764800,3,23.192608163241218,0.022429454999837617,4620.0
10,(1280, 720),2764800,3,16.171295678491408,0.03088764699987223,4620.0
11,(1280, 720),2764800,3,18.866697124972045,0.02808261800009859,4620.0
12,(1280, 720),2764800,3,23.252265009036638,0.020158941999852686,4620.0
13,(1280, 720),2764800,3,18.27123528183121,0.032219182000062574,4620.0
14,(1280, 720),2764800,3,22.15660224432244,0.021633978999943793,4620.0
15,(1280, 720),2764800,3,17.506198901283497,0.03175179099980596,4620.0
16,(1280, 720),2764800,3,21.51322288726365,0.02583224899990455,4620.0
17,(1280, 720),2764800,3,19.35506297865347,0.028032230000007985,4620.0
18,(1280, 720),2764800,3,18.27077626605621,0.03198524700019334,4620.0
19,(1280, 720),2764800,3,24.01501918520367,0.02309806099992784,4620.0
20,(1280, 720),2764800,3,18.291578963154517,0.021972086999994644,4620.0
21,(1280, 720),2764800,3,17.72954804872077,0.03269723300036276,4620.0
22,(1280, 720),2764800,3,21.865923318623356,0.02948465600002237,4620.0
22,(1280, 720),2764800,3,22.061686682103247,0.02581218000023,3234.0
23,(1280, 720),2764800,3,18.745724685999736,0.026755205999961618,2263.8
24,(1280, 720),2764800,3,19.42178698775664,0.029984231000071304,2263.8
25,(1280, 720),2764800,3,24.056282849226935,0.024509719999969093,2263.8
26,(1280, 720),2764800,3,20.354988972152285,0.022473155000170664,2263.8
27,(1280, 720),2764800,3,18.67148430789418,0.02589827800011335,2263.8
28,(1280, 720),2764800,3,25.216550913642276,0.0215725250000105,2263.8
28,(1280, 720),2764800,3,18.10606405578635,0.028059792000021844,2263.8
29,(1280, 720),2764800,3,22.700031657517496,0.022508499999730702,2263.8
30,(1280, 720),2764800,3,21.650243946148546,0.021671224000328948,2263.8
31,(1280, 720),2764800,3,16.90297047567632,0.03420112200001313,2263.8
32,(1280, 720),2764800,3,19.23871259928981,0.029234242999791604,2263.8
33,(1280, 720),2764800,3,19.77048366420275,0.03046878800023478,2263.8
33,(1280, 720),2764800,3,25.726146202907998,0.022661523999886413,2263.8
34,(1280, 720),2764800,3,21.945545946145923,0.022919370000181516,2263.8
35,(1280, 720),2764800,3,16.958210526172046,0.02925855600005889,2263.8
36,(1280, 720),2764800,3,21.27575422073632,0.029454675000124553,2263.8
37,(1280, 720),2764800,3,27.030259700149802,0.022193466999851807,2263.8
38,(1280, 720),2764800,3,18.511102765055604,0.030931543999940914,2263.8
39,(1280, 720),2764800,3,23.766484403868777,0.031792015000064566,2263.8
40,(1280, 720),2764800,3,23.860049167895497,0.023834877999888704,2263.8
41,(1280, 720),2764800,3,22.043714670186926,0.022088360999987344,2263.8
42,(1280, 720),2764800,3,23.263193254674988,0.022927056000298762,2263.8
43,(1280, 720),2764800,3,23.493569974303682,0.02214812600004734,2263.8
43,(1280, 720),2764800,3,21.17733846065119,0.021836020999671746,2263.8
44,(1280, 720),2764800,3,21.235970429574415,0.019865725999807182,2263.8
45,(1280, 720),2764800,3,23.22279330158175,0.02216929499991238,2263.8
46,(1280, 720),2764800,3,21.680426908406375,0.023103357999843865,2263.8
47,(1280, 720),2764800,3,20.71674596114428,0.022552136999820505,2263.8
47,(1280, 720),2764800,3,18.076533875250185,0.026944025999910082,2263.8
48,(1280, 720),2764800,3,24.571209059085707,0.025702221000301506,2263.8
49,(1280, 720),2764800,3,22.237680869702327,0.021347915999740508,2263.8
50,(1280, 720),2764800,3,15.457196195064599,0.031815651999750116,2263.8
51,(1280, 720),2764800,3,22.398774840789798,0.028722059999836347,2263.8
52,(1280, 720),2764800,3,20.839484020217547,0.03407623299972329,2263.8
53,(1280, 720),2764800,3,22.221149187477625,0.024641559999963647,2263.8
54,(1280, 720),2764800,3,22.042143785503164,0.023202424999908544,2263.8
54,(1280, 720),2764800,3,19.34984370357594,0.02033050000000003,2263.8
55,(1280, 720),2764800,3,19.250361656532167,0.02345228100011809,2263.8
56,(1280, 720),2764800,3,20.507095352392994,0.020860136000010243,2263.8
