frame_id,frame_timestamp,cmd_timestamp
9,1595.887441253,1595.9934262
12,1596.231347907,1596.35201352
16,1596.702486337,1596.826772564
21,1597.263533651,1597.374367783
24,1597.603329595,1597.706946443
24,1597.715623105,1597.788717425
29,1598.229387699,1598.34061718
29,1598.34107679,1598.413624812
33,1598.749210461,1598.860369906
37,1599.285913367,1599.390474426
58,1599.8378353,1599.943995815
62,1600.274727234,1600.391834606
62,1600.392245666,1600.470011076
66,1600.792294522,1600.896376828
70,1601.311350379,1601.416287776
74,1601.753368557,1601.861341275
78,1602.265498497,1602.370757721
99,1602.787966704,1602.867930473
103,1603.212110493,1603.271399064
103,1603.271928067,1603.310448444
107,1603.468250852,1603.513907055
111,1603.705950049,1603.761241927
115,1603.925978813,1603.979780199
119,1604.176561758,1604.227409961
