id,created_at,participant_id,pair_id,game,bandwidth_mbit,pair_index,video_a_kind,video_b_kind,video_a_file,video_b_file,score_a,score_b,which_real,is_correct,pairs_version,pairs_hash,user_agent
24,2026-06-19 21:11:57.71+00,mwyjHy7aNZ,10Mbit_Forza,Forza,10,0,real,synth,videos/10Mbit_Loss0_Forza.mp4,videos/10Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,4,4,Video B,false,1.0.1781903019,b615bb70072a145b,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0
25,2026-06-19 21:12:14.053+00,mwyjHy7aNZ,2Mbit_Fortnite,Fortnite,2,1,synth,real,videos/2Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,videos/2Mbit_Loss0_Fortnite.mp4,2,3,Video B,true,1.0.1781903019,b615bb70072a145b,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0
26,2026-06-19 21:12:35.238+00,mwyjHy7aNZ,4Mbit_Forza,Forza,4,2,synth,real,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,videos/4Mbit_Loss0_Forza.mp4,2,4,Video B,true,1.0.1781903019,b615bb70072a145b,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0
27,2026-06-19 21:12:55.069+00,mwyjHy7aNZ,6Mbit_Forza,Forza,6,3,real,synth,videos/6Mbit_Loss0_Forza.mp4,videos/6Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,3,4,Both,false,1.0.1781903019,b615bb70072a145b,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0
28,2026-06-19 21:13:10.013+00,mwyjHy7aNZ,2Mbit_Kombat,Kombat,2,4,real,synth,videos/2Mbit_Loss0_Kombat.mp4,videos/2Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,2,3,Video B,false,1.0.1781903019,b615bb70072a145b,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0
29,2026-06-19 21:13:21.413+00,mwyjHy7aNZ,10Mbit_Fortnite,Fortnite,10,5,real,synth,videos/10Mbit_Loss0_Fortnite.mp4,videos/10Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,4,4,Video B,false,1.0.1781903019,b615bb70072a145b,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0
30,2026-06-19 21:13:33.262+00,mwyjHy7aNZ,8Mbit_Forza,Forza,8,6,real,synth,videos/8Mbit_Loss0_Forza.mp4,videos/8Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,3,4,Both,false,1.0.1781903019,b615bb70072a145b,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0
31,2026-06-19 21:13:44.293+00,mwyjHy7aNZ,2Mbit_Forza,Forza,2,7,real,synth,videos/2Mbit_Loss0_Forza.mp4,videos/2Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,2,2,Video B,false,1.0.1781903019,b615bb70072a145b,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0
32,2026-06-19 21:14:05.838+00,mwyjHy7aNZ,4Mbit_Kombat,Kombat,4,8,synth,real,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,videos/4Mbit_Loss0_Kombat.mp4,4,4,Both,false,1.0.1781903019,b615bb70072a145b,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0
33,2026-06-19 21:14:15.678+00,mwyjHy7aNZ,6Mbit_Fortnite,Fortnite,6,9,synth,real,videos/6Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,videos/6Mbit_Loss0_Fortnite.mp4,4,4,Both,false,1.0.1781903019,b615bb70072a145b,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0
