Video,Metric,Mean,Std,Min,Max
4Mbit_Loss0_Fortnite,psnr,18.964422,0.379114,18.242675,19.943825
4Mbit_Loss0_Fortnite,ssim,0.882026,0.012642,0.863017,0.915666
4Mbit_Loss0_Fortnite,mse,828.468374,71.270544,658.715534,974.569528
4Mbit_Loss0_Fortnite,rmse,28.756146,1.245961,25.665454,31.218096
4Mbit_Loss0_Fortnite,mae,8.619882,0.494902,7.267071,9.374176
4Mbit_Loss0_Fortnite,nrmse,0.363122,0.057764,0.288815,0.493549
4Mbit_Loss0_Fortnite,correlation,0.818244,0.054648,0.701669,0.889345
4Mbit_Loss0_Fortnite,gms,0.558894,0.021560,0.522700,0.623257
4Mbit_Loss0_Fortnite,edge_similarity,0.337853,0.034116,0.292385,0.450463
4Mbit_Loss0_Fortnite,lpips,0.276748,0.018873,0.203815,0.315748
4Mbit_Loss0_Fortnite,vmaf,31.482578,11.875590,13.222602,86.299139
