Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss1_Fortnite,0,18.624285,0.915658,892.589681,29.876239,7.252388,0.492465,0.713030,0.623512,0.452962,0.204114,82.781173
4Mbit_Loss1_Fortnite,1,18.606629,0.894808,896.225937,29.937033,8.008922,0.488485,0.714106,0.608499,0.409700,0.237107,74.703423
4Mbit_Loss1_Fortnite,2,18.640925,0.891096,889.176296,29.819059,8.067056,0.479701,0.721950,0.610285,0.406629,0.250093,29.237111
4Mbit_Loss1_Fortnite,3,18.557488,0.888708,906.424415,30.106883,8.205111,0.490278,0.706753,0.611367,0.390107,0.263499,35.341573
4Mbit_Loss1_Fortnite,4,17.112862,0.812811,1264.136961,35.554704,11.774387,0.558896,0.620076,0.592166,0.244726,0.302824,20.166218
4Mbit_Loss1_Fortnite,5,15.969744,0.753815,1644.773160,40.555803,15.367053,0.633103,0.507202,0.581145,0.190717,0.349823,11.449742
4Mbit_Loss1_Fortnite,6,16.289987,0.773133,1527.853385,39.087765,14.744873,0.625269,0.546508,0.582943,0.224309,0.349482,7.411918
4Mbit_Loss1_Fortnite,7,16.347082,0.778417,1507.898657,38.831671,14.991145,0.599206,0.578995,0.573060,0.230711,0.368663,10.723384
4Mbit_Loss1_Fortnite,8,16.432723,0.788883,1478.454891,38.450681,16.669808,0.479322,0.616906,0.523136,0.229173,0.451970,14.563526
4Mbit_Loss1_Fortnite,9,16.502716,0.787908,1454.818260,38.142080,16.914504,0.487345,0.583272,0.528732,0.228179,0.444811,18.845926
4Mbit_Loss1_Fortnite,10,16.510993,0.817439,1452.048257,38.105751,16.827034,0.532584,0.639369,0.535685,0.248038,0.394395,20.823454
4Mbit_Loss1_Fortnite,11,16.610687,0.816516,1419.095647,37.670886,16.749907,0.522793,0.632339,0.532707,0.246156,0.420820,9.393544
4Mbit_Loss1_Fortnite,12,16.514596,0.817555,1450.844301,38.089950,17.035050,0.528525,0.612697,0.520997,0.237734,0.426475,15.991420
4Mbit_Loss1_Fortnite,13,16.897001,0.828072,1328.557341,36.449381,15.830970,0.516756,0.589274,0.517104,0.227890,0.452744,11.840435
4Mbit_Loss1_Fortnite,14,17.118324,0.834726,1262.548221,35.532355,15.420368,0.484000,0.601862,0.524173,0.240418,0.449779,14.579854
4Mbit_Loss1_Fortnite,15,17.211671,0.837339,1235.700670,35.152534,14.527665,0.495937,0.616384,0.506642,0.245578,0.433109,16.669188
4Mbit_Loss1_Fortnite,16,17.366173,0.840837,1192.512845,34.532779,14.469553,0.487298,0.627369,0.514570,0.251624,0.428769,14.867213
4Mbit_Loss1_Fortnite,17,17.299011,0.831460,1211.098050,34.800834,14.671012,0.491091,0.620259,0.501818,0.229979,0.440916,16.829934
4Mbit_Loss1_Fortnite,18,16.116121,0.735752,1590.260494,39.878070,18.961776,0.561410,0.508098,0.461046,0.114060,0.498995,6.280998
4Mbit_Loss1_Fortnite,19,16.233138,0.743072,1547.984346,39.344432,18.757233,0.553291,0.542678,0.471542,0.143028,0.512155,0.000000
4Mbit_Loss1_Fortnite,20,16.136168,0.740248,1582.936640,39.786136,19.084074,0.553158,0.554281,0.482489,0.150933,0.519246,0.000000
4Mbit_Loss1_Fortnite,21,16.165311,0.745787,1572.350066,39.652870,18.926922,0.541620,0.592997,0.484784,0.165927,0.509560,0.000000
4Mbit_Loss1_Fortnite,22,15.882108,0.738528,1678.300044,40.967060,19.599610,0.557229,0.568058,0.496884,0.166321,0.509164,0.000000
