Video,Metric,Mean,Std,Min,Max
4Mbit_Loss0_Forza,psnr,9.982315,1.496449,4.699390,12.061671
4Mbit_Loss0_Forza,ssim,0.197157,0.067590,0.096533,0.329344
4Mbit_Loss0_Forza,mse,7035.839712,3528.289807,4044.950850,22036.434972
4Mbit_Loss0_Forza,rmse,82.156006,16.918346,63.599928,148.446741
4Mbit_Loss0_Forza,mae,66.311081,16.196265,47.364626,129.561909
4Mbit_Loss0_Forza,nrmse,0.912935,0.064268,0.774682,1.005976
4Mbit_Loss0_Forza,correlation,-0.043029,0.054177,-0.135871,0.158041
4Mbit_Loss0_Forza,gms,0.267377,0.066688,0.141796,0.361140
4Mbit_Loss0_Forza,edge_similarity,0.025273,0.004610,0.013986,0.034867
4Mbit_Loss0_Forza,lpips,0.841672,0.050149,0.775500,0.923283
4Mbit_Loss0_Forza,vmaf,6.507354,3.424305,1.078249,16.703672
