Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss1_Forza,0,11.299476,0.504142,4820.951552,69.433072,53.084600,0.978078,0.212680,0.499283,0.193678,0.569848,0.000000
4Mbit_Loss1_Forza,1,11.185413,0.499393,4949.246137,70.350879,53.352039,0.990552,0.205951,0.489419,0.158518,0.581129,0.000000
4Mbit_Loss1_Forza,2,11.126923,0.499861,5016.352147,70.826211,53.492334,0.996976,0.203987,0.493739,0.165387,0.544012,0.000000
4Mbit_Loss1_Forza,3,11.108864,0.500231,5037.255344,70.973624,53.546352,0.998863,0.201672,0.505295,0.169166,0.525120,0.000000
4Mbit_Loss1_Forza,4,11.085573,0.500206,5064.342182,71.164192,53.613290,1.001867,0.200131,0.511746,0.173150,0.520665,0.000000
4Mbit_Loss1_Forza,5,10.929161,0.493972,5250.059399,72.457294,54.736474,1.029155,0.181361,0.541516,0.169936,0.489992,0.000000
4Mbit_Loss1_Forza,6,10.795134,0.480727,5414.607834,73.584019,55.899790,1.061669,0.166960,0.563248,0.173965,0.484359,0.000000
4Mbit_Loss1_Forza,7,10.648635,0.463845,5600.371400,74.835629,57.529285,1.100763,0.165208,0.581125,0.189064,0.488183,0.000000
4Mbit_Loss1_Forza,8,10.539714,0.453941,5742.605483,75.779981,58.365928,1.125176,0.159140,0.586867,0.181353,0.494292,0.000000
4Mbit_Loss1_Forza,9,10.416513,0.443378,5907.844361,76.862503,59.342346,1.153002,0.152093,0.596223,0.181405,0.510134,0.000000
4Mbit_Loss1_Forza,10,10.428213,0.436050,5891.950600,76.759042,59.445963,1.163698,0.160122,0.610023,0.170614,0.518980,0.000000
4Mbit_Loss1_Forza,11,10.433737,0.436056,5884.460581,76.710238,59.429959,1.163126,0.159287,0.610681,0.172641,0.519259,0.000000
4Mbit_Loss1_Forza,12,10.411859,0.432049,5914.179129,76.903700,59.693367,1.173275,0.163933,0.622898,0.180352,0.523498,0.000000
4Mbit_Loss1_Forza,13,10.404264,0.432338,5924.530981,76.970975,59.711540,1.174424,0.163542,0.625106,0.178920,0.521960,0.000000
4Mbit_Loss1_Forza,14,10.429091,0.427817,5890.759469,76.751283,59.578266,1.178926,0.172762,0.623419,0.181247,0.523496,0.000000
4Mbit_Loss1_Forza,15,10.391058,0.414429,5942.573771,77.088091,59.932675,1.193996,0.174645,0.598386,0.153906,0.529290,0.000000
4Mbit_Loss1_Forza,16,10.384518,0.408092,5951.528454,77.146150,60.123537,1.203662,0.177286,0.585287,0.150099,0.540179,0.000000
4Mbit_Loss1_Forza,17,10.366752,0.407685,5975.924935,77.304107,60.155171,1.205997,0.176490,0.586322,0.149163,0.542201,0.000000
4Mbit_Loss1_Forza,18,10.344252,0.407696,6006.965627,77.504617,60.271275,1.209045,0.171616,0.585854,0.148110,0.541911,0.000000
4Mbit_Loss1_Forza,19,10.360115,0.408291,5985.064271,77.363197,60.244792,1.206935,0.172659,0.587001,0.151150,0.539402,0.000000
4Mbit_Loss1_Forza,20,10.351731,0.408300,5996.630011,77.437911,60.261804,1.208097,0.172323,0.589796,0.150010,0.540667,0.000000
4Mbit_Loss1_Forza,21,10.346329,0.408367,6004.093021,77.486083,60.309023,1.208800,0.170558,0.593410,0.151081,0.541103,0.000000
4Mbit_Loss1_Forza,22,10.348050,0.408143,6001.714223,77.470731,60.312464,1.208674,0.172581,0.598425,0.150390,0.540869,0.000000
4Mbit_Loss1_Forza,23,10.329244,0.400961,6027.759566,77.638647,60.552221,1.220155,0.175353,0.602342,0.129592,0.548610,0.000000
4Mbit_Loss1_Forza,24,10.316902,0.393555,6044.914128,77.749046,60.831812,1.240902,0.189957,0.619287,0.138749,0.562792,0.000000
4Mbit_Loss1_Forza,25,10.306816,0.387995,6058.969487,77.839383,60.939311,1.254515,0.202508,0.616592,0.126298,0.566246,0.000000
4Mbit_Loss1_Forza,26,10.286464,0.387983,6087.429542,78.021981,61.030605,1.257496,0.196946,0.616546,0.124842,0.566296,2.666749
4Mbit_Loss1_Forza,27,10.309838,0.388110,6054.754783,77.812305,60.898225,1.253954,0.203640,0.619644,0.125477,0.565646,2.698454
4Mbit_Loss1_Forza,28,10.284769,0.388141,6089.806577,78.037213,61.021442,1.257716,0.196309,0.621001,0.126205,0.565077,2.796417
4Mbit_Loss1_Forza,29,10.288816,0.388326,6084.133768,78.000857,61.000434,1.257112,0.196650,0.625555,0.125982,0.564547,2.611934
4Mbit_Loss1_Forza,30,10.290262,0.388635,6082.107775,77.987869,60.984681,1.257111,0.197402,0.630975,0.122057,0.563253,2.370541
4Mbit_Loss1_Forza,31,10.312396,0.378035,6051.189717,77.789393,61.247494,1.283116,0.210819,0.639261,0.133179,0.571512,0.000000
4Mbit_Loss1_Forza,32,10.296701,0.373241,6073.096957,77.930077,61.515347,1.314739,0.220242,0.642994,0.144086,0.577080,0.000000
4Mbit_Loss1_Forza,33,8.760916,0.311954,8649.455561,93.002449,75.057058,1.819662,0.258968,0.652533,0.245689,0.536971,0.000000
4Mbit_Loss1_Forza,34,8.806192,0.289280,8559.751739,92.518926,75.812278,1.796801,0.178651,0.620914,0.197231,0.561656,15.738201
4Mbit_Loss1_Forza,35,8.725843,0.288357,8719.590174,93.378746,76.462341,1.813808,0.171838,0.628067,0.178313,0.574901,14.564890
4Mbit_Loss1_Forza,36,8.710190,0.288338,8751.073756,93.547174,76.478008,1.815982,0.171114,0.629354,0.166219,0.580823,13.903636
4Mbit_Loss1_Forza,37,8.653464,0.287282,8866.126530,94.160111,76.709186,1.827877,0.166708,0.627973,0.153147,0.582899,14.272708
4Mbit_Loss1_Forza,38,9.011000,0.281462,8165.453650,90.362900,75.975676,1.774882,0.215705,0.662431,0.165576,0.578800,0.000000
4Mbit_Loss1_Forza,39,8.869865,0.268244,8435.170108,91.843182,76.926591,1.980540,0.159999,0.656474,0.154918,0.592061,13.630770
4Mbit_Loss1_Forza,40,9.042434,0.270684,8106.566431,90.036473,75.072432,2.043396,0.161301,0.661032,0.175571,0.588473,30.687896
