Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Kombat,0,19.297333,0.893523,764.446444,27.648625,8.429706,0.316870,0.821165,0.728837,0.413095,0.139646,77.172210
4Mbit_Kombat,1,19.193499,0.833968,782.943526,27.981128,9.642658,0.321518,0.816004,0.700023,0.303491,0.193148,62.317654
4Mbit_Kombat,2,19.198012,0.830638,782.130468,27.966596,9.663537,0.321409,0.816839,0.700262,0.303980,0.197658,43.108934
4Mbit_Kombat,3,19.202833,0.842665,781.262659,27.951076,9.456918,0.320436,0.817861,0.707603,0.319807,0.203186,51.999850
4Mbit_Kombat,4,19.224206,0.846029,777.427270,27.882383,9.344836,0.319806,0.819322,0.714773,0.331513,0.191021,39.230310
4Mbit_Kombat,5,19.255402,0.838622,771.862913,27.782421,9.463221,0.318873,0.819726,0.712486,0.317590,0.205413,25.817010
4Mbit_Kombat,6,19.679413,0.798936,700.066154,26.458763,10.400359,0.244779,0.862923,0.635597,0.246162,0.306303,18.696839
4Mbit_Kombat,7,20.692943,0.784735,554.352567,23.544693,9.899041,0.144279,0.893873,0.573287,0.195505,0.433292,18.124786
4Mbit_Kombat,8,20.627315,0.778040,562.793285,23.723265,10.204853,0.136319,0.904177,0.565838,0.175350,0.419186,18.943622
4Mbit_Kombat,9,20.597498,0.771582,566.670395,23.804840,10.239672,0.137859,0.903742,0.571471,0.176845,0.445556,15.621946
4Mbit_Kombat,10,20.614786,0.767978,564.419203,23.757508,10.416731,0.141963,0.909196,0.589423,0.179985,0.434287,19.392526
4Mbit_Kombat,11,20.522855,0.768747,576.494130,24.010292,10.622006,0.152002,0.911107,0.603869,0.180576,0.459507,24.498619
4Mbit_Kombat,12,20.379388,0.757767,595.856317,24.410168,11.022844,0.166717,0.911555,0.596844,0.180886,0.435546,38.032124
4Mbit_Kombat,13,19.978934,0.721580,653.411785,25.561921,12.065884,0.192990,0.899680,0.554846,0.162383,0.488008,41.532270
4Mbit_Kombat,14,19.588335,0.701727,714.902505,26.737661,12.492928,0.227408,0.886065,0.519127,0.154205,0.468805,41.659821
4Mbit_Kombat,15,19.297323,0.700926,764.448161,27.648656,12.614180,0.263712,0.867778,0.502623,0.151175,0.494128,39.866254
