Video,Metric,Mean,Std,Min,Max
4Mbit_Kombat,psnr,19.498133,0.307388,19.160819,20.692943
4Mbit_Kombat,ssim,0.782041,0.027015,0.690008,0.893523
4Mbit_Kombat,mse,731.630400,47.409017,554.352567,788.857304
4Mbit_Kombat,rmse,27.033196,0.914719,23.544693,28.086604
4Mbit_Kombat,mae,10.579727,0.583300,8.429706,12.907786
4Mbit_Kombat,nrmse,0.309644,0.046707,0.136319,0.340421
4Mbit_Kombat,correlation,0.839159,0.022519,0.813700,0.911555
4Mbit_Kombat,gms,0.621673,0.042795,0.495849,0.728837
4Mbit_Kombat,edge_similarity,0.257781,0.042922,0.151175,0.413095
4Mbit_Kombat,lpips,0.336001,0.063362,0.139646,0.494128
4Mbit_Kombat,vmaf,38.696428,17.231155,11.438953,77.172210
