Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss1_Kombat,0,16.738328,0.587677,1377.994773,37.121352,23.043350,0.425433,0.571391,0.584202,0.211273,0.506423,12.303558
4Mbit_Loss1_Kombat,1,16.471521,0.486720,1465.305729,38.279312,25.087842,0.439849,0.538132,0.557302,0.109430,0.560614,5.288138
4Mbit_Loss1_Kombat,2,16.227052,0.488171,1550.155280,39.372011,25.366197,0.452488,0.521479,0.565535,0.123515,0.503201,6.204679
4Mbit_Loss1_Kombat,3,16.158457,0.501811,1574.833683,39.684174,25.410954,0.454947,0.518575,0.584475,0.136962,0.483786,9.406851
4Mbit_Loss1_Kombat,4,16.156503,0.479314,1575.542280,39.693101,25.556531,0.455272,0.516105,0.585926,0.131476,0.481673,10.408959
4Mbit_Loss1_Kombat,5,16.042630,0.485919,1617.399718,40.216908,25.672394,0.461591,0.509904,0.597130,0.140889,0.480056,9.880000
4Mbit_Loss1_Kombat,6,15.662029,0.628575,1765.539444,42.018323,27.503383,0.388726,0.607567,0.593668,0.194474,0.455900,13.271347
4Mbit_Loss1_Kombat,7,10.637966,0.530508,5614.147056,74.927612,57.069521,0.459147,0.290408,0.526869,0.150967,0.678363,19.491882
4Mbit_Loss1_Kombat,8,9.493511,0.527295,7306.834397,85.480023,66.150158,0.491188,0.215626,0.528756,0.140711,0.616496,21.279483
4Mbit_Loss1_Kombat,9,9.520829,0.524502,7261.017510,85.211604,65.866216,0.493479,0.227537,0.532180,0.143434,0.625011,17.198605
4Mbit_Loss1_Kombat,10,9.649750,0.524313,7048.641029,83.956185,65.018565,0.501679,0.259760,0.545661,0.149421,0.616048,19.051267
4Mbit_Loss1_Kombat,11,10.044210,0.530267,6436.642353,80.228688,62.255256,0.507904,0.320017,0.552871,0.150571,0.639624,21.952254
4Mbit_Loss1_Kombat,12,10.359193,0.532284,5986.335959,77.371416,59.887889,0.528431,0.359650,0.561110,0.162780,0.597649,26.986908
4Mbit_Loss1_Kombat,13,10.864297,0.504458,5329.060209,73.000412,56.484996,0.551145,0.374085,0.527137,0.148313,0.626357,26.336716
4Mbit_Loss1_Kombat,14,11.431215,0.481377,4676.908644,68.387928,52.288758,0.581651,0.394470,0.488449,0.143719,0.599466,29.460878
4Mbit_Loss1_Kombat,15,12.107664,0.470874,4002.339952,63.264049,47.497957,0.603410,0.382665,0.478834,0.138548,0.607580,29.679077
4Mbit_Loss1_Kombat,16,12.525710,0.465741,3635.041317,60.291304,44.801214,0.611974,0.374059,0.474333,0.141516,0.590202,26.652189
4Mbit_Loss1_Kombat,17,12.624205,0.471330,3553.529150,59.611485,44.499222,0.617852,0.384414,0.486278,0.155856,0.579994,26.583703
4Mbit_Loss1_Kombat,18,12.754087,0.403199,3448.829282,58.726734,44.152269,0.622502,0.374698,0.491839,0.120224,0.592282,21.603131
4Mbit_Loss1_Kombat,19,12.863663,0.403675,3362.900769,57.990523,43.577697,0.628072,0.368598,0.495709,0.122037,0.609680,20.087466
4Mbit_Loss1_Kombat,20,13.008203,0.407807,3252.820009,57.033499,42.853295,0.631007,0.374401,0.504342,0.129086,0.601374,20.631377
4Mbit_Loss1_Kombat,21,13.175086,0.414304,3130.197357,55.948167,42.034071,0.631175,0.391440,0.516675,0.138965,0.593232,19.494367
4Mbit_Loss1_Kombat,22,13.373601,0.413378,2990.338018,54.683983,41.026005,0.629566,0.408002,0.518520,0.145438,0.572725,19.712947
4Mbit_Loss1_Kombat,23,13.532990,0.414418,2882.579949,53.689663,40.164303,0.629399,0.419089,0.515235,0.142034,0.581742,17.370600
4Mbit_Loss1_Kombat,24,13.653570,0.415427,2803.646950,52.949475,39.539381,0.630543,0.431869,0.519852,0.146841,0.570013,16.996184
4Mbit_Loss1_Kombat,25,13.683854,0.416507,2784.164683,52.765184,39.430657,0.629582,0.435251,0.521181,0.147988,0.567180,15.502613
4Mbit_Loss1_Kombat,26,13.737456,0.417607,2750.012833,52.440565,39.118670,0.630317,0.437901,0.525222,0.152318,0.552045,15.464475
4Mbit_Loss1_Kombat,27,13.753618,0.417142,2739.797816,52.343078,38.972631,0.633700,0.435616,0.526762,0.158639,0.543689,15.243824
4Mbit_Loss1_Kombat,28,13.782790,0.413741,2721.456237,52.167578,38.815788,0.635430,0.436971,0.527157,0.161274,0.539892,15.338328
4Mbit_Loss1_Kombat,29,13.792135,0.415243,2715.606408,52.111481,38.717030,0.636772,0.434925,0.528814,0.163126,0.535797,12.881542
4Mbit_Loss1_Kombat,30,13.806136,0.415715,2706.866121,52.027552,38.809700,0.637432,0.432377,0.534914,0.167778,0.538751,7.474218
4Mbit_Loss1_Kombat,31,13.826045,0.416132,2694.485341,51.908432,38.676815,0.639380,0.428523,0.537696,0.167325,0.539301,10.567483
4Mbit_Loss1_Kombat,32,13.838515,0.414208,2686.759883,51.833965,38.735095,0.639468,0.425627,0.540942,0.165140,0.538918,12.341000
4Mbit_Loss1_Kombat,33,13.889158,0.425705,2655.611339,51.532624,38.540994,0.635682,0.427046,0.550814,0.173941,0.532196,13.735754
4Mbit_Loss1_Kombat,34,13.827449,0.430075,2693.614695,51.900045,38.913874,0.636141,0.419774,0.551969,0.177821,0.537766,15.797626
4Mbit_Loss1_Kombat,35,13.744523,0.402430,2745.542012,52.397920,39.166382,0.641364,0.398927,0.560147,0.149938,0.531346,14.950027
4Mbit_Loss1_Kombat,36,13.680670,0.387489,2786.207015,52.784534,39.402761,0.644527,0.384567,0.561960,0.151889,0.526652,13.094946
4Mbit_Loss1_Kombat,37,13.602833,0.374471,2836.592985,53.259675,39.619004,0.648676,0.370541,0.561770,0.148880,0.523901,11.899877
4Mbit_Loss1_Kombat,38,13.523047,0.377050,2889.187318,53.751161,39.943403,0.651225,0.365653,0.565153,0.152535,0.530172,10.218379
4Mbit_Loss1_Kombat,39,13.575528,0.379646,2854.483672,53.427368,39.837110,0.645704,0.374520,0.568679,0.155330,0.530228,10.332686
4Mbit_Loss1_Kombat,40,13.550413,0.365611,2871.038732,53.582075,39.953316,0.646356,0.366456,0.573835,0.147663,0.526875,8.554424
4Mbit_Loss1_Kombat,41,13.545970,0.370237,2873.977418,53.609490,39.879844,0.647200,0.367776,0.579675,0.153795,0.520421,8.057746
4Mbit_Loss1_Kombat,42,13.524865,0.372573,2887.977537,53.739906,39.974724,0.647899,0.367820,0.581970,0.156774,0.525691,7.447358
4Mbit_Loss1_Kombat,43,13.547216,0.374190,2873.153213,53.601802,39.881212,0.646713,0.370802,0.584532,0.158580,0.524562,7.804383
4Mbit_Loss1_Kombat,44,13.548681,0.380854,2872.184159,53.592762,39.879146,0.646434,0.373160,0.591754,0.164338,0.523153,8.623238
4Mbit_Loss1_Kombat,45,13.599338,0.382389,2838.876969,53.281113,39.635669,0.644694,0.376938,0.593254,0.167765,0.517493,7.985036
4Mbit_Loss1_Kombat,46,13.582757,0.386219,2849.735888,53.382918,39.726808,0.644187,0.377163,0.594492,0.170598,0.522342,9.548364
4Mbit_Loss1_Kombat,47,13.634749,0.389679,2815.823783,53.064336,39.428741,0.639127,0.387033,0.595051,0.172966,0.524483,10.388670
4Mbit_Loss1_Kombat,48,13.654709,0.395343,2802.911973,52.942535,39.316608,0.634354,0.397920,0.595870,0.181137,0.513531,10.870800
4Mbit_Loss1_Kombat,49,13.703974,0.402628,2771.296072,52.643101,39.029966,0.629740,0.407355,0.596538,0.185842,0.509158,10.737887
4Mbit_Loss1_Kombat,50,13.874561,0.419717,2664.552134,51.619300,38.478509,0.614398,0.437951,0.592145,0.186334,0.523979,7.141809
