Video,Metric,Mean,Std,Min,Max
4Mbit_Loss5_Kombat,psnr,12.744559,1.245065,7.602686,14.314438
4Mbit_Loss5_Kombat,ssim,0.325065,0.036120,0.257121,0.388929
4Mbit_Loss5_Kombat,mse,3656.635497,1683.578632,2407.889811,11293.062017
4Mbit_Loss5_Kombat,rmse,59.500966,10.782879,49.070254,106.268820
4Mbit_Loss5_Kombat,mae,45.689743,10.294527,36.954116,91.089489
4Mbit_Loss5_Kombat,nrmse,0.662233,0.041380,0.552285,0.766287
4Mbit_Loss5_Kombat,correlation,0.311874,0.075439,0.034638,0.461997
4Mbit_Loss5_Kombat,gms,0.540549,0.038274,0.437110,0.594212
4Mbit_Loss5_Kombat,edge_similarity,0.115712,0.025054,0.041124,0.149125
4Mbit_Loss5_Kombat,lpips,0.613659,0.051681,0.550340,0.804562
4Mbit_Loss5_Kombat,vmaf,9.686024,4.406582,0.000000,19.114503
