file,packets,bytes,duration,rtt,bitrate,quality
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_jobs_/https:__www.youtube.com_jobs_-00430_quic_anonymized_filtered.pcap,83,50252,1.46,0.0,0.28,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_jobs_/https:__www.youtube.com_jobs_-00520_quic_anonymized_filtered.pcap,73,47621,0.44,0.0,0.86,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_jobs_/https:__www.youtube.com_jobs_-00330_quic_anonymized_filtered.pcap,76,47735,1.35,0.0,0.28,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_jobs_/https:__www.youtube.com_jobs_-00720_quic_anonymized_filtered.pcap,76,47949,1.22,0.0,0.32,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_jobs_/https:__www.youtube.com_jobs_-00250_quic_anonymized_filtered.pcap,94,51479,1.17,0.0,0.35,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_jobs_/https:__www.youtube.com_jobs_-00440_quic_anonymized_filtered.pcap,89,50838,1.18,0.0,0.34,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_jobs_/https:__www.youtube.com_jobs_-00490_quic_anonymized_filtered.pcap,73,47577,1.48,0.0,0.26,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_jobs_/https:__www.youtube.com_jobs_-00670_quic_anonymized_filtered.pcap,73,49187,1.4,0.0,0.28,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_-00780_quic_anonymized_filtered.pcap,1076,156849,0.85,0.0,10.91,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_-00250_quic_anonymized_filtered.pcap,1071,150830,0.86,0.0,10.67,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_-00440_quic_anonymized_filtered.pcap,1072,155788,0.89,0.0,10.39,EXCELENTE
